vehicleTypeId,curbWeightInKg,curbWeightSource
2046_GMC_Acadia_FWD,1700,default passenger-car weight
2043_Toyota_Tundra_2WDc2,2100,default passenger-car weight; battery-electric adjustment
2043_MINI_Cooper_Pacemanc5,1950,default passenger-car weight; plug-in hybrid adjustment
2043_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2043_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2043_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2043_Lexus_NX_300h,1700,default passenger-car weight
2043_GMC_Acadia_FWD,1700,default passenger-car weight
2043_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2043_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2043_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2043_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2043_Toyota_Prius_v,1700,default passenger-car weight
2043_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2043_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2043_Ford_Fusion_FWD,1700,default passenger-car weight
2043_Toyota_Sienna_2WD,1700,default passenger-car weight
2043_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2043_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2043_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2035_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2035_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2035_BMW_M235ic2,1950,default passenger-car weight; plug-in hybrid adjustment
2035_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2035_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2035_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2035_Ford_Fusion_FWD,1700,default passenger-car weight
2035_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2035_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2035_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2035_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2035_Toyota_Prius_v,1700,default passenger-car weight
2035_Lexus_NX_300h,1700,default passenger-car weight
2035_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2035_Toyota_Sienna_2WD,1700,default passenger-car weight
2035_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2035_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2035_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2030_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2030_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2030_GMC_Acadia_FWD,1700,default passenger-car weight
2030_Chrysler_200,1700,default passenger-car weight
2030_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2030_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2030_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2030_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2030_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2030_Honda_CR-V_2WDc4,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2030_Toyota_Sienna_2WD,1700,default passenger-car weight
2030_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2030_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2030_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2030_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2030_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2030_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2030_Toyota_Prius_v,1700,default passenger-car weight
2049_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2049_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2049_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2049_MINI_Cooper_Pacemanc5,1950,default passenger-car weight; plug-in hybrid adjustment
2049_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2049_Lexus_NX_300h,1700,default passenger-car weight
2049_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2049_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2049_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2049_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2049_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2049_Tesla_Model_Ye6e6e3e3e5e5e5e4,2100,default passenger-car weight; battery-electric adjustment
2049_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2049_Toyota_Prius_v,1700,default passenger-car weight
2049_GMC_Acadia_FWD,1700,default passenger-car weight
2049_Chevrolet_Malibu,1700,default passenger-car weight
2049_Buick_Regal_eAssist,1700,default passenger-car weight
2049_Nissan_Quest,1700,default passenger-car weight
2029_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2029_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2029_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2029_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2029_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2029_Toyota_Sienna_2WD,1700,default passenger-car weight
2029_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2029_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2029_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2029_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2029_Toyota_Prius_v,1700,default passenger-car weight
2029_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2029_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2029_Chrysler_200,1700,default passenger-car weight
2029_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2029_Chevrolet_Silverado_C15_2WDc5,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2029_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2029_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2050_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2050_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2050_GMC_Acadia_FWD,1700,default passenger-car weight
2050_Tesla_Model_Ye6e6e3,2100,default passenger-car weight; battery-electric adjustment
2050_Chevrolet_Malibu,1700,default passenger-car weight
2050_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2050_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2050_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2050_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2050_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2050_Buick_Regal_eAssist,1700,default passenger-car weight
2050_Nissan_Quest,1700,default passenger-car weight
2050_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2050_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2050_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2050_Lexus_NX_300h,1700,default passenger-car weight
2050_Toyota_Prius_v,1700,default passenger-car weight
2023_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2023_Tesla_Model_Y,2100,default passenger-car weight; battery-electric adjustment
2023_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2023_Toyota_Sienna_2WD,1700,default passenger-car weight
2023_Honda_CR-V_4WDc3,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2023_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2023_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2023_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2023_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2023_Toyota_Prius_v,1700,default passenger-car weight
2023_Kia_Optima,1700,default passenger-car weight
2023_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2023_Kia_Optimac4,1950,default passenger-car weight; plug-in hybrid adjustment
2023_Toyota_RAV4_AWDc4,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2023_Tesla_Model_S_(60_kW-hr_battery_pack),2100,default passenger-car weight; battery-electric adjustment
2023_Honda_Clarity_FCV,1850,default passenger-car weight; fuel-cell adjustment
2023_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2026_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2026_Toyota_Sienna_2WD,1700,default passenger-car weight
2026_Toyota_Prius_v,1700,default passenger-car weight
2026_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2026_Buick_Regal_eAssist,1700,default passenger-car weight
2026_Honda_CR-V_2WDc4,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2026_Kia_Optima,1700,default passenger-car weight
2026_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2026_Kia_Optimac3,2100,default passenger-car weight; battery-electric adjustment
2026_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2026_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2026_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2026_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2026_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2026_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2026_Chevrolet_Silverado_K15_4WD,2600,pickup keyword in vehicleTypeId
2026_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2034_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2034_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2034_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2034_Toyota_Sienna_2WD,1700,default passenger-car weight
2034_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2034_Ford_Fusion_FWD,1700,default passenger-car weight
2034_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2034_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2034_Lexus_NX_300h,1700,default passenger-car weight
2034_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2034_BMW_M235ic2,1950,default passenger-car weight; plug-in hybrid adjustment
2034_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2034_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2034_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2034_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2034_Toyota_Prius_v,1700,default passenger-car weight
2034_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2034_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2031_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2031_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2031_Lexus_NX_300h,1700,default passenger-car weight
2031_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2031_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2031_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2031_Toyota_Sienna_2WD,1700,default passenger-car weight
2031_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2031_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2031_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2031_Toyota_Prius_v,1700,default passenger-car weight
2031_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2031_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2031_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2031_GMC_Acadia_FWD,1700,default passenger-car weight
2031_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2031_Chrysler_200,1700,default passenger-car weight
2031_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2048_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2048_GMC_Acadia_FWD,1700,default passenger-car weight
2048_Nissan_Quest,1700,default passenger-car weight
2048_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2048_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2048_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2048_Lexus_NX_300h,1700,default passenger-car weight
2048_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2048_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2048_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2048_MINI_Cooper_Pacemanc5,1950,default passenger-car weight; plug-in hybrid adjustment
2048_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2048_Chevrolet_Malibu,1700,default passenger-car weight
2048_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2048_Toyota_Prius_v,1700,default passenger-car weight
2048_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2048_Tesla_Model_Ye6e6e3e3e5e5e5e4,2100,default passenger-car weight; battery-electric adjustment
2048_Buick_Regal_eAssist,1700,default passenger-car weight
2047_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2047_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2047_Toyota_Sienna_2WD,1700,default passenger-car weight
2047_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2047_Chevrolet_Malibu,1700,default passenger-car weight
