vehicleTypeId,curbWeightInKg,curbWeightSource
2044_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2044_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2044_GMC_Acadia_FWD,1700,default passenger-car weight
2044_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2044_MINI_Cooper_Pacemanc5,1950,default passenger-car weight; plug-in hybrid adjustment
2044_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2044_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2044_Toyota_Sienna_2WD,1700,default passenger-car weight
2044_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2044_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2044_Ford_Fusion_FWD,1700,default passenger-car weight
2044_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2044_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2044_Toyota_Prius_v,1700,default passenger-car weight
2044_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2044_Buick_Regal_eAssist,1700,default passenger-car weight
2032_Toyota_Prius_v,1700,default passenger-car weight
2032_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2032_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2032_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2032_Toyota_Sienna_2WD,1700,default passenger-car weight
2032_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2032_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2032_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2032_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2032_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2032_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2032_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2032_Chrysler_200,1700,default passenger-car weight
2032_GMC_Acadia_FWD,1700,default passenger-car weight
2032_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2032_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2032_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2032_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2037_BMW_M235ic2,1950,default passenger-car weight; plug-in hybrid adjustment
2037_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2037_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2037_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2037_Lexus_NX_300h,1700,default passenger-car weight
2037_Toyota_Sienna_2WD,1700,default passenger-car weight
2037_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2037_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2037_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2037_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2037_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2037_Ford_Fusion_FWD,1700,default passenger-car weight
2037_Toyota_Prius_v,1700,default passenger-car weight
2037_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2037_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2037_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2037_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2037_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2037_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2025_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2025_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2025_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2025_Honda_CR-V_4WDc3,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2025_Chevrolet_Silverado_K15_4WD,2600,pickup keyword in vehicleTypeId
2025_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2025_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2025_Toyota_Prius_v,1700,default passenger-car weight
2025_Toyota_Sienna_2WD,1700,default passenger-car weight
2025_Tesla_Model_3,2100,default passenger-car weight; battery-electric adjustment
2025_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2025_Kia_Optima,1700,default passenger-car weight
2025_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2025_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2025_Toyota_RAV4_AWDc4,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2025_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2025_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2020_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2020_Tesla_Model_Y,2100,default passenger-car weight; battery-electric adjustment
2020_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2020_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2020_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2020_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2020_Honda_CR-V_4WDc3,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2020_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2020_Hyundai_Tucson_Fuel_Cell,1850,default passenger-car weight; fuel-cell adjustment
2020_Toyota_Sienna_2WD,1700,default passenger-car weight
2020_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2020_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2020_Nissan_Altima,1700,default passenger-car weight
2020_Honda_Clarity_FCV,1850,default passenger-car weight; fuel-cell adjustment
2020_Toyota_Prius_v,1700,default passenger-car weight
2020_Tesla_Model_S_(60_kW-hr_battery_pack),2100,default passenger-car weight; battery-electric adjustment
2020_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2018_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2018_Toyota_Sienna_2WD,1700,default passenger-car weight
2018_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2018_Tesla_Model_S_(60_kW-hr_battery_pack),2100,default passenger-car weight; battery-electric adjustment
2018_Toyota_RAV4_AWDc4,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2018_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2018_Ford_Fusion_AWD,1700,default passenger-car weight
2018_Toyota_Prius_v,1700,default passenger-car weight
2018_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2018_Hyundai_Tucson_Fuel_Cell,1850,default passenger-car weight; fuel-cell adjustment
2018_Chevrolet_Volt,1950,default passenger-car weight; plug-in hybrid adjustment
2018_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2018_Tesla_Model_X_AWD_90D,2100,default passenger-car weight; battery-electric adjustment
2018_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2018_Buick_Regal_eAssist,1700,default passenger-car weight
2017_Tesla_Model_S_(60_kW-hr_battery_pack),2100,default passenger-car weight; battery-electric adjustment
2017_Ford_Fusion_AWD,1700,default passenger-car weight
2017_Toyota_RAV4_AWDc4,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2017_Toyota_Prius_v,1700,default passenger-car weight
2017_Toyota_Sienna_2WD,1700,default passenger-car weight
2017_Tesla_Model_X_AWD_90D,2100,default passenger-car weight; battery-electric adjustment
2017_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2017_Chevrolet_Volt,1950,default passenger-car weight; plug-in hybrid adjustment
2017_Hyundai_Tucson_Fuel_Cell,1850,default passenger-car weight; fuel-cell adjustment
2017_Buick_Regal_eAssist,1700,default passenger-car weight
2017_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2017_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2017_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2017_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2033_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2033_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2033_Ford_Fusion_FWD,1700,default passenger-car weight
2033_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2033_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2033_Lexus_NX_300h,1700,default passenger-car weight
2033_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2033_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2033_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2033_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2033_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2033_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2033_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2033_BMW_i3_REX,1950,default passenger-car weight; plug-in hybrid adjustment
2033_Toyota_Prius_v,1700,default passenger-car weight
2033_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2033_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2033_Toyota_Sienna_2WD,1700,default passenger-car weight
2036_Toyota_Prius_v,1700,default passenger-car weight
2036_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2036_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2036_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2036_Lexus_NX_300h,1700,default passenger-car weight
2036_BMW_M235ic2,1950,default passenger-car weight; plug-in hybrid adjustment
2036_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2036_Tesla_Model_3e6e3,2100,default passenger-car weight; battery-electric adjustment
2036_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2036_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2036_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2036_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2036_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2036_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2036_Ford_Fusion_FWD,1700,default passenger-car weight
2036_Toyota_Sienna_2WD,1700,default passenger-car weight
2036_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2036_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2040_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2040_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2040_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2040_Ford_Fusion_FWD,1700,default passenger-car weight
2040_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2040_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2040_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2040_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2040_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2040_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2040_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2040_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2040_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2040_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2040_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2040_MINI_Cooper_Pacemanc5,1950,default passenger-car weight; plug-in hybrid adjustment
2040_Toyota_Sienna_2WD,1700,default passenger-car weight
2040_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2040_Toyota_Prius_v,1700,default passenger-car weight
2039_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2039_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2039_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2039_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2039_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2039_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2039_Lexus_NX_300h,1700,default passenger-car weight
2039_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2039_Toyota_Prius_v,1700,default passenger-car weight
2039_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2039_BMW_M235ic2,1950,default passenger-car weight; plug-in hybrid adjustment
2039_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2039_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2039_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2039_Toyota_Sienna_2WD,1700,default passenger-car weight
2039_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2039_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2039_Ford_Fusion_FWD,1700,default passenger-car weight
2039_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2045_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2045_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2045_Lexus_NX_300h,1700,default passenger-car weight
2045_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2045_Chevrolet_Malibu,1700,default passenger-car weight
2045_BMW_M235ic2,1950,default passenger-car weight; plug-in hybrid adjustment
2045_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2045_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2045_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2045_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2045_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2045_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2045_Toyota_Prius_v,1700,default passenger-car weight
2045_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2045_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2045_GMC_Acadia_FWD,1700,default passenger-car weight
2045_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2045_Toyota_Sienna_2WD,1700,default passenger-car weight
2045_Buick_Regal_eAssist,1700,default passenger-car weight
2016_Ford_Fusion_AWD,1700,default passenger-car weight
2016_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2016_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2016_Tesla_Model_X_AWD_90D,2100,default passenger-car weight; battery-electric adjustment
2016_Toyota_Sienna_2WD,1700,default passenger-car weight
2016_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2016_Buick_Regal_eAssist,1700,default passenger-car weight
2016_Toyota_Prius_v,1700,default passenger-car weight
2016_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2016_Chevrolet_Volt,1950,default passenger-car weight; plug-in hybrid adjustment
2016_Porsche_Cayenne_S_e-Hybrid,1950,default passenger-car weight; plug-in hybrid adjustment
2016_Tesla_Model_S_70D,2100,default passenger-car weight; battery-electric adjustment
2016_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2024_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2024_Honda_Clarity_FCV,1850,default passenger-car weight; fuel-cell adjustment
2024_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2024_Tesla_Model_Y,2100,default passenger-car weight; battery-electric adjustment
2024_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2024_Toyota_RAV4_AWDc4,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2024_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2024_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2024_Honda_CR-V_4WDc3,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2024_Tesla_Model_3,2100,default passenger-car weight; battery-electric adjustment
2024_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2024_Kia_Optima,1700,default passenger-car weight
2024_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2024_Toyota_Prius_v,1700,default passenger-car weight
2024_Toyota_Sienna_2WD,1700,default passenger-car weight
2024_Chevrolet_Silverado_K15_4WD,2600,pickup keyword in vehicleTypeId
2024_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2019_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2019_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2019_Toyota_RAV4_AWDc4,2500,suv/crossover keyword in vehicleTypeId; battery-electric adjustment
2019_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2019_Honda_Clarity_FCV,1850,default passenger-car weight; fuel-cell adjustment
2019_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2019_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2019_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2019_Toyota_Sienna_2WD,1700,default passenger-car weight
2019_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2019_Honda_CR-V_4WDc3,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2019_Tesla_Model_S_(60_kW-hr_battery_pack),2100,default passenger-car weight; battery-electric adjustment
2019_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2019_Toyota_Prius_v,1700,default passenger-car weight
2019_Chevrolet_Malibu,1700,default passenger-car weight
2019_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2019_Hyundai_Tucson_Fuel_Cell,1850,default passenger-car weight; fuel-cell adjustment
2021_Honda_Clarity_FCV,1850,default passenger-car weight; fuel-cell adjustment
2021_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2021_Honda_CR-V_4WDc3,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2021_Tesla_Model_Y,2100,default passenger-car weight; battery-electric adjustment
2021_Tesla_Model_S_(60_kW-hr_battery_pack),2100,default passenger-car weight; battery-electric adjustment
2021_Kia_Optima,1700,default passenger-car weight
2021_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2021_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2021_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2021_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2021_Toyota_Prius_v,1700,default passenger-car weight
2021_Kia_Optimac4,1950,default passenger-car weight; plug-in hybrid adjustment
2021_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2021_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2021_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2021_Toyota_Sienna_2WD,1700,default passenger-car weight
2021_Hyundai_Tucson_Fuel_Cell,1850,default passenger-car weight; fuel-cell adjustment
BODY-TYPE-DEFAULT,1700,default passenger-car weight
BIKE-DEFAULT,100,bike default placeholder weight
BUS-DEFAULT,14000,medium-duty passenger default placeholder weight
RAIL-DEFAULT,14000,medium-duty passenger default placeholder weight
FERRY-DEFAULT,14000,medium-duty passenger default placeholder weight
SUBWAY-DEFAULT,14000,medium-duty passenger default placeholder weight
CABLE_CAR-DEFAULT,14000,medium-duty passenger default placeholder weight
TRAM-DEFAULT,14000,medium-duty passenger default placeholder weight
BUS-AC,14000,medium-duty passenger default placeholder weight
BUS-AY,14000,medium-duty passenger default placeholder weight
SUBWAY-BA,14000,medium-duty passenger default placeholder weight
RAIL-AM,14000,medium-duty passenger default placeholder weight
BUS-CC,14000,medium-duty passenger default placeholder weight
TRAIN-CE,14000,medium-duty passenger default placeholder weight
BUS-CM,14000,medium-duty passenger default placeholder weight
TRAIN-CT,14000,medium-duty passenger default placeholder weight
BUS-CT,14000,medium-duty passenger default placeholder weight
BUS-DE,14000,medium-duty passenger default placeholder weight
BUS-FS,14000,medium-duty passenger default placeholder weight
FERRY-HF,14000,medium-duty passenger default placeholder weight
BUS-GG,14000,medium-duty passenger default placeholder weight
BUS-MA,14000,medium-duty passenger default placeholder weight
BUS-MS,14000,medium-duty passenger default placeholder weight
BUS-PE,14000,medium-duty passenger default placeholder weight
BUS-RV,14000,medium-duty passenger default placeholder weight
BUS-VTA,14000,medium-duty passenger default placeholder weight
BUS-SF,14000,medium-duty passenger default placeholder weight
CABLE_CAR-SF,14000,medium-duty passenger default placeholder weight
TRAM-SF,14000,medium-duty passenger default placeholder weight
BUS-SM,14000,medium-duty passenger default placeholder weight
BUS-SO,14000,medium-duty passenger default placeholder weight
BUS-SR,14000,medium-duty passenger default placeholder weight
BUS-ST,14000,medium-duty passenger default placeholder weight
BUS-VC,14000,medium-duty passenger default placeholder weight
BUS-VN,14000,medium-duty passenger default placeholder weight
BUS-WC,14000,medium-duty passenger default placeholder weight
BUS-WH,14000,medium-duty passenger default placeholder weight
RH_2018_Toyota_Prius_v,1700,default passenger-car weight
