mapping_group,source_value,target_value
beam,hydrogen,Elec
beam,electricity-only,Elec
beam,electricity-hybrid,Phe
beam,gasoline,Gas
beam,diesel,Dsl
beam,biodiesel,Dsl
emfac-ft,Elec,Elec
emfac-ft,Phe,Phe
emfac-ft,Gas,Dsl
emfac-ft,Dsl,Dsl
emfac-ft,NG,Dsl
emfac-pax,Elec,Elec
emfac-pax,Phe,Phe
emfac-pax,Gas,Gas
emfac-pax,Dsl,Gas
emfac-pax,NG,Gas
emfac-bus,Elec,Elec
emfac-bus,Phe,Phe
emfac-bus,Gas,Gas
emfac-bus,Dsl,Dsl
emfac-bus,NG,Dsl
