group,emfac_vehicle_category,emfac_fuel,beam_category,adopt_fuel
passenger,LDA,Elec,Car,ev
passenger,LDA,Elec,Car,fuelcell
passenger,LDA,Gas,Car,conv
passenger,LDA,Phe,Car,phev
passenger,LDT1,Elec,Car,ev
passenger,LDT1,Elec,Car,fuelcell
passenger,LDT1,Gas,Car,conv
passenger,LDT1,Phe,Car,phev
passenger,LDT2,Elec,Car,ev
passenger,LDT2,Elec,Car,fuelcell
passenger,LDT2,Gas,Car,conv
passenger,LDT2,Phe,Car,phev
passenger,MCY,Gas,Bike,conv
passenger,MDV,Elec,Car,ev
passenger,MDV,Elec,Car,fuelcell
passenger,MDV,Gas,Car,conv
passenger,MDV,Phe,Car,phev
passenger,UBUS,Dsl,MediumDutyPassenger,diesel
passenger,UBUS,Elec,MediumDutyPassenger,electricity
passenger,UBUS,Gas,MediumDutyPassenger,gasoline
freight,LDA,Dsl,Class12aVocational,diesel
freight,LDA,Elec,Class12aVocational,electricity
freight,LDA,Gas,Class12aVocational,gasoline
freight,LDT1,Dsl,Class12aVocational,diesel
freight,LDT1,Elec,Class12aVocational,electricity
freight,LDT1,Gas,Class12aVocational,gasoline
freight,LDT2,Dsl,Class12aVocational,diesel
freight,LDT2,Elec,Class12aVocational,electricity
freight,LDT2,Gas,Class12aVocational,gasoline
freight,LHD1,Dsl,Class2b3Vocational,diesel
freight,LHD1,Gas,Class2b3Vocational,gasoline
freight,LHD2,Dsl,Class2b3Vocational,diesel
freight,LHD2,Gas,Class2b3Vocational,gasoline
freight,MDV,Dsl,Class12aVocational,diesel
freight,MDV,Elec,Class12aVocational,electricity
freight,MDV,Gas,Class12aVocational,gasoline
freight,T6 CAIRP Class 4,Dsl,Class456Vocational,diesel
freight,T6 CAIRP Class 5,Dsl,Class456Vocational,diesel
freight,T6 CAIRP Class 6,Dsl,Class456Vocational,diesel
freight,T6 CAIRP Class 7,Dsl,Class78Tractor,diesel
freight,T6 Instate Delivery Class 4,Dsl,Class456Vocational,diesel
freight,T6 Instate Delivery Class 5,Dsl,Class456Vocational,diesel
freight,T6 Instate Delivery Class 6,Dsl,Class456Vocational,diesel
freight,T6 Instate Delivery Class 7,Dsl,Class78Vocational,diesel
freight,T6 Instate Other Class 4,Dsl,Class456Vocational,diesel
freight,T6 Instate Other Class 5,Dsl,Class456Vocational,diesel
freight,T6 Instate Other Class 6,Dsl,Class456Vocational,diesel
freight,T6 Instate Other Class 7,Dsl,Class78Vocational,diesel
freight,T6 Instate Tractor Class 6,Dsl,Class456Vocational,diesel
freight,T6 Instate Tractor Class 7,Dsl,Class78Tractor,diesel
freight,T6 OOS Class 4,Dsl,Class456Vocational,diesel
freight,T6 OOS Class 5,Dsl,Class456Vocational,diesel
freight,T6 OOS Class 6,Dsl,Class456Vocational,diesel
freight,T6 OOS Class 7,Dsl,Class78Vocational,diesel
freight,T6TS,Gas,Class456Vocational,gasoline
freight,T7 CAIRP Class 8,Dsl,Class78Tractor,diesel
freight,T7 NNOOS Class 8,Dsl,Class78Vocational,diesel
freight,T7 NOOS Class 8,Dsl,Class78Vocational,diesel
freight,T7 Other Port Class 8,Dsl,Class78Tractor,diesel
freight,T7 POAK Class 8,Dsl,Class78Tractor,diesel
freight,T7 SWCV Class 8,Dsl,Class78Vocational,diesel
freight,T7 Single Concrete/Transit Mix Class 8,Dsl,Class78Vocational,diesel
freight,T7 Single Dump Class 8,Dsl,Class78Vocational,diesel
freight,T7 Single Other Class 8,Dsl,Class78Vocational,diesel
freight,T7 Tractor Class 8,Dsl,Class78Tractor,diesel
freight,T7IS,Gas,Class78Tractor,gasoline
,All Other Buses,Dsl,,
,All Other Buses,NG,,
,MH,Dsl,,
,MH,Gas,,
,Motor Coach,Dsl,,
,OBUS,Gas,,
,PTO,Dsl,,
,SBUS,Dsl,,
,SBUS,Gas,,
,SBUS,NG,,
,T6 CAIRP Class 7,NG,,
,T6 Instate Delivery Class 4,NG,,
,T6 Instate Delivery Class 5,NG,,
,T6 Instate Delivery Class 6,NG,,
,T6 Instate Delivery Class 7,NG,,
,T6 Instate Other Class 4,NG,,
,T6 Instate Other Class 5,NG,,
,T6 Instate Other Class 6,NG,,
,T6 Instate Other Class 7,NG,,
,T6 Instate Tractor Class 6,NG,,
,T6 Instate Tractor Class 7,NG,,
,T6 Public Class 4,Dsl,,
,T6 Public Class 4,NG,,
,T6 Public Class 5,Dsl,,
,T6 Public Class 5,NG,,
,T6 Public Class 6,Dsl,,
,T6 Public Class 6,NG,,
,T6 Public Class 7,Dsl,,
,T6 Public Class 7,NG,,
,T6 Utility Class 5,Dsl,,
,T6 Utility Class 5,NG,,
,T6 Utility Class 6,Dsl,,
,T6 Utility Class 6,NG,,
,T6 Utility Class 7,Dsl,,
,T6 Utility Class 7,NG,,
,T7 CAIRP Class 8,NG,,
,T7 POAK Class 8,NG,,
,T7 Public Class 8,Dsl,,
,T7 Public Class 8,NG,,
,T7 SWCV Class 8,NG,,
,T7 Single Concrete/Transit Mix Class 8,NG,,
,T7 Single Dump Class 8,NG,,
,T7 Single Other Class 8,NG,,
,T7 Tractor Class 8,NG,,
,T7 Utility Class 8,Dsl,,
,UBUS,NG,,
