fastsim_id,body_type,msrp_usd
"Class_6_Box_truck_(BEV,_2025,_no_program)",Class456Vocational,
"Class_8_Box_truck",Class78Vocational,
"Class_8_Sleeper_cab_high_roof_(BEV,_2025,_no_program)",Class78Tractor,

